Jugador;Posicion;Edad;Altura;Pie;Fichado;Equipo_Anterior;Valor_Mercado;Equipo
Juan Manuel Cabrera;Defensa;22;;;;;;Argentinos Juniors
Lucas Chaves;Portero;26;1.82;derecho;01/01/2015;Inferiores Argentinos Juniors;3000000;Argentinos Juniors
Federico Lanzillotta;Portero;29;1.85;derecho;06/01/2016;Nueva Chicago;500000;Argentinos Juniors
Leandro Finochietto;Portero;25;1.86;derecho;01/01/2019;Inferiores Argentinos Juniors;50000;Argentinos Juniors
Miguel Ángel Acosta;Portero;20;1.89;derecho;;;25000;Argentinos Juniors
Kevin Mac Allister;Defensa central;24;1.75;derecho;01/07/2017;Inferiores Argentinos Juniors;3200000;Argentinos Juniors
Lucas Villalba;Defensa central;27;1.79;izquierdo;11/02/2021;Club Atlético Aldosivi;1200000;Argentinos Juniors
Miguel Torrén;Defensa central;33;1.79;derecho;01/07/2011;CA Newell's Old Boys;575000;Argentinos Juniors
Marco Di Cesare;Defensa central;20;1.86;derecho;01/01/2021;Inferiores Argentinos Juniors;300000;Argentinos Juniors
Pablo Minissale;Defensa central;21;1.82;derecho;01/07/2021;Inferiores Argentinos Juniors;75000;Argentinos Juniors
Mariano Bíttolo;Lateral izquierdo;32;1.74;izquierdo;25/01/2022;CA Newell's Old Boys;750000;Argentinos Juniors
Leonel González;Lateral izquierdo;28;1.79;izquierdo;11/07/2022;CD Godoy Cruz Antonio Tomba;475000;Argentinos Juniors
Enzo Ybáñez;Lateral izquierdo;23;1.73;izquierdo;01/07/2018;Inferiores Argentinos Juniors;150000;Argentinos Juniors
Román Vega;Lateral izquierdo;18;1.77;izquierdo;;;;Argentinos Juniors
Luciano Gómez;Lateral derecho;26;1.64;derecho;04/01/2022;CA Banfield;350000;Argentinos Juniors
Luciano Sánchez;Lateral derecho;28;1.69;derecho;05/02/2022;Independiente Rivadavia;125000;Argentinos Juniors
Fausto Vera;Pivote;22;1.8;derecho;01/07/2019;Inferiores Argentinos Juniors;6000000;Argentinos Juniors
Matías Lugo;Pivote;21;1.7;;;;;Argentinos Juniors
Federico Redondo;Pivote;19;1.88;derecho;01/07/2022;Inferiores Argentinos Juniors;;Argentinos Juniors
Franco Moyano;Mediocentro;24;1.71;derecho;17/02/2021;CA San Lorenzo de Almagro;1500000;Argentinos Juniors
Matías Galarza;Mediocentro;20;1.8;derecho;01/01/2022;Inferiores Argentinos Juniors;800000;Argentinos Juniors
Alan Rodríguez;Mediocentro;22;1.7;derecho;12/08/2022;CA Boston River;700000;Argentinos Juniors
Enzo Kalinski;Mediocentro;35;1.84;derecho;01/07/2021;Club Estudiantes de La Plata;150000;Argentinos Juniors
Andrés Roa;Mediocentro ofensivo;29;1.75;derecho;11/07/2022;CA Independiente;2000000;Argentinos Juniors
Gabriel Florentín;Mediocentro ofensivo;23;1.73;derecho;01/07/2019;Inferiores Argentinos Juniors;2000000;Argentinos Juniors
Gabriel Carabajal;Mediocentro ofensivo;31;1.78;derecho;01/01/2022;Club Atlético Unión;800000;Argentinos Juniors
Mateo Coronel;Mediocentro ofensivo;23;1.72;derecho;01/01/2020;Inferiores Argentinos Juniors;300000;Argentinos Juniors
Yair González;Mediocentro ofensivo;20;1.73;derecho;;;50000;Argentinos Juniors
Johan Campaña;Extremo izquierdo;19;1.7;derecho;11/02/2021;Deportivo Pasto U20;125000;Argentinos Juniors
David Zalazar;Extremo izquierdo;20;1.79;izquierdo;01/01/2022;Inferiores Argentinos Juniors;100000;Argentinos Juniors
Javier Cabrera;Extremo derecho;30;1.68;derecho;15/01/2021;Melbourne City FC;500000;Argentinos Juniors
Thiago Nuss;Extremo derecho;21;1.72;derecho;01/01/2022;Inferiores Argentinos Juniors;75000;Argentinos Juniors
José Herrera;Extremo derecho;19;1.72;izquierdo;01/07/2022;Inferiores Argentinos Juniors;25000;Argentinos Juniors
Nicolás Reniero;Delantero centro;27;1.83;derecho;05/07/2021;Racing Club;2200000;Argentinos Juniors
Gabriel Ávalos;Delantero centro;31;1.9;derecho;29/07/2020;CD Godoy Cruz Antonio Tomba;900000;Argentinos Juniors
Gastón Verón;Delantero centro;21;1.84;derecho;01/01/2022;Inferiores Argentinos Juniors;325000;Argentinos Juniors
Lautaro Ovando;Delantero centro;19;1.72;derecho;01/07/2022;Inferiores Argentinos Juniors;25000;Argentinos Juniors
Axel Werner;Portero;26;1.91;derecho;31/01/2022;Elche CF;800000;Arsenal
Alejandro Medina;Portero;35;1.82;derecho;17/02/2021;Quilmes Atlético Club;200000;Arsenal
Alejandro Rivero;Portero;24;1.89;derecho;;;50000;Arsenal
Joaquin Bigo;Portero;23;1.83;izquierdo;06/06/2022;AA Estudiantes Río Cuarto;25000;Arsenal
Gonzalo Goñi;Defensa central;23;1.84;derecho;02/08/2021;CD Godoy Cruz Antonio Tomba;575000;Arsenal
Gustavo Canto;Defensa central;28;1.86;izquierdo;13/07/2022;CS Emelec;400000;Arsenal
Ignacio Gariglio;Defensa central;24;1.89;derecho;06/10/2020;Club Estudiantes de La Plata Inferiores;75000;Arsenal
Franco Martínez;Defensa central;19;1.83;;;;25000;Arsenal
Axel Carrión;Defensa central;18;1.92;;;;25000;Arsenal
Joaquín Pombo;Defensa central;21;1.91;;01/01/2023;Arsenal Fútbol Inferiores;25000;Arsenal
Iván Cabrera;Defensa central;19;1.79;;;;25000;Arsenal
Damián Pérez;Lateral izquierdo;33;1.69;izquierdo;10/02/2022;CD Godoy Cruz Antonio Tomba;400000;Arsenal
Lucas Suárez;Lateral izquierdo;27;1.84;izquierdo;08/02/2021;AA Estudiantes Río Cuarto;175000;Arsenal
Leonardo Marchi;Lateral izquierdo;25;1.8;izquierdo;27/08/2020;Defensa y Justicia II;50000;Arsenal
Cristian Chimino;Lateral derecho;34;1.78;derecho;17/01/2022;Atlético de Rafaela;325000;Arsenal
Julián Navas;Lateral derecho;28;1.8;derecho;21/08/2020;Independiente Rivadavia;175000;Arsenal
Mauro Pittón;Pivote;27;1.81;derecho;10/02/2022;CA Vélez Sarsfield;1100000;Arsenal
Dardo Miloc;Pivote;31;;derecho;01/07/2021;Volos NPS;275000;Arsenal
William Machado;Pivote;28;1.73;derecho;08/01/2022;Deportivo Villa Española;100000;Arsenal
Alejo Antilef;Mediocentro;23;1.7;izquierdo;01/01/2018;Arsenal Fútbol Inferiores;525000;Arsenal
Braian Rivero;Mediocentro;26;1.7;derecho;07/02/2022;CSD Defensa y Justicia;300000;Arsenal
Agustín Maciel;Mediocentro;21;;;;;;Arsenal
David Torres;Mediocentro;21;;;;;;Arsenal
Braian Sánchez;Mediocentro ofensivo;29;1.7;derecho;03/02/2022;Club Deportivo Riestra;75000;Arsenal
Emiliano Viveros;Mediocentro ofensivo;19;1.78;;;;25000;Arsenal
Facundo Kruspzky;Extremo izquierdo;19;1.81;derecho;01/01/2022;Arsenal Fútbol Inferiores;350000;Arsenal
Joaquín Ibáñez;Extremo izquierdo;25;1.78;izquierdo;08/01/2022;Club Almirante Brown;225000;Arsenal
Shayr Mohamed;Extremo izquierdo;22;1.73;derecho;08/01/2022;Club Tijuana U20;25000;Arsenal
Lucas Brochero;Extremo derecho;23;1.72;derecho;10/01/2022;CA Boca Juniors Inferiores;450000;Arsenal
Edwin Torres;Extremo derecho;24;1.83;derecho;22/01/2022;Alianza Petrolera;250000;Arsenal
Sebastián Lomónaco;Delantero centro;23;1.73;derecho;08/01/2022;CD Godoy Cruz Antonio Tomba;1500000;Arsenal
Alexander Díaz;Delantero centro;22;1.72;izquierdo;25/01/2022;CA San Lorenzo de Almagro;1300000;Arsenal
Francisco Apaolaza;Delantero centro;25;1.88;derecho;29/01/2022;Club Estudiantes de La Plata;1000000;Arsenal
Cristian Colmán;Delantero centro;28;1.85;derecho;10/02/2022;CD Godoy Cruz Antonio Tomba;500000;Arsenal
Lucas Cano;Delantero centro;27;1.85;derecho;11/07/2022;CA San Martín Tucumán;200000;Arsenal
Juan Peinipil;Delantero centro;20;1.8;;01/01/2023;Arsenal Fútbol Inferiores;;Arsenal
Agustín Rossi;Portero;20;1.93;izquierdo;01/02/2017;Club Estudiantes de La Plata;3500000;Boca
